,authors,source.title,title,removeReason,Further classification for removals due to IC3
208,"Weflen E., MacKenzie C.A., Rivero I.V.",Expert Systems with Applications,An influence diagram approach to automating lead time estimation in Agile Kanban project management,IC3 - Not investigating the reasons for inaccurate estimations OR Not proposing an approach to improve the effort estimation accuracy,Not related to effort estimation (they predict time from task created to task implementation start)
209,"Basri S,Kama N,Haneem F,Ismail SA",Proceedings of the Seventh Symposium on Information and Communication Technology,Predicting Effort for Requirement Changes during Software Development,EC2 - Is duplicate or continuation of another included study/approach,
210,"Choudhari J,Suman U",Procedia Technology,Story Points Based Effort Estimation Model for Software Maintenance,EC2 - Is duplicate or continuation of another included study/approach,
211,A. Altaleb; H. Alhashimi; A. Gravell,2020 10th International Conference on Advanced Computer Information Technologies (ACIT),A Case Study Validation of the Pair-estimation Technique in Effort Estimation of Mobile App Development Using Agile Processes,EC2 - Is duplicate or continuation of another included study/approach,
212,M. Adnan; M. Afzal,IEEE Access,Ontology Based Multiagent Effort Estimation System for Scrum Agile Method,EC2 - Is duplicate or continuation of another included study/approach,
213,M. Usman; R. Britto,2016 Joint Conference of the International Workshop on Software Measurement and the International Conference on Software Process and Product Measurement (IWSM-MENSURA),Effort Estimation in Co-located and Globally Distributed Agile Software Development: A Comparative Study,EC2 - Is duplicate or continuation of another included study/approach,
214,"Tanveer B., Vollmer A.M., Braun S., Ali N.",Journal of Software: Evolution and Process,An evaluation of effort estimation supported by change impact analysis in agile software development,EC2 - Is duplicate or continuation of another included study/approach,
215,"Turek M,Werewka J,Palka D",,The Scrum Pricing Model for Developing a Common Software Framework in a Multi-project Environment,EC1 - Provide no access to the full paper,
216,"Dhir S., Kumar D.",Advanced Science Letters,Factors persuading nuts and bolts of agile estimation,EC1 - Provide no access to the full paper,
217,"Karunakaran E., Sreenath N.",International Journal of Applied Engineering Research,A method to effort estimation for XP projects in clients perspective,EC1 - Provide no access to the full paper,
218,"Miguel MA,Araujo MA,David JM,Braga R",Proceedings of the XII Brazilian Symposium on Information Systems on Brazilian Symposium on Information Systems: Information Systems in the Cloud Computing Era - Volume 1,A Framework to Support Effort Estimation on Software Maintenance and Evolution Activities,EC1 - Provide no access to the full paper,
219,"Dhir S., Kumar D., Singh V.B.",International Journal of Process Management and Benchmarking,An estimation technique in agile archetype using story points and function point analysis,EC1 - Provide no access to the full paper,
220,"Mas‚ad R., √ëanculef R., Astudillo H.","XXII Ibero-American Conference on Software Engineering, CIbSE 2019",BlackSheep: Dynamic effort estimation in agile software development using machine learning,EC1 - Provide no access to the full paper,
221,M. Arora; A. Sharma; S. Katoch; M. Malviya; S. Chopra,2021 2nd International Conference on Intelligent Engineering and Management (ICIEM),A State of the Art Regressor Model's comparison for Effort Estimation of Agile software,EC3 - Is a literature review study,
222,S. A. Saeed; J. A. Khan; S. Naeem; S. -U. -R. Khan,2021 International Conference on Frontiers of Information Technology (FIT),An Empirical Investigation on Cost Estimation Challenges in Agile Software Development (ASD) Context,EC3 - Is a literature review study,
223,Danh Nguyen-Cong; De Tran-Cao,"The 2013 RIVF International Conference on Computing & Communication Technologies - Research, Innovation, and Vision for Future (RIVF)","A review of effort estimation studies in agile, iterative and incremental software development",EC3 - Is a literature review study,
224,"Usman M,Mendes E,Weidt F,Britto R",Proceedings of the 10th International Conference on Predictive Models in Software Engineering,Effort Estimation in Agile Software Development: A Systematic Literature Review,EC3 - Is a literature review study,
225,"Schweighofer T., Kline A., Pavliƒç L., Heriƒçko M.",CEUR Workshop Proceedings,How is effort estimated in agile software development projects?,EC3 - Is a literature review study,
226,S. Bilgaiyan; S. Mishra; M. Das,2016 2nd International Conference on Computational Intelligence and Networks (CINE),A Review of Software Cost Estimation in Agile Software Development Using Soft Computing Techniques,EC3 - Is a literature review study,
227,"Prakash B., Viswanathan V.",Indonesian Journal of Electrical Engineering and Computer Science,A survey on software estimation techniques in traditional and agile development models,EC3 - Is a literature review study,
228,"Canedo E.D., Da Costa R.P.","Americas Conference on Information Systems 2018: Digital Disruption, AMCIS 2018",Methods and metrics for estimating and planning agile software projects,EC3 - Is a literature review study,
229,"Kaur A., Kaur K.",Indonesian Journal of Electrical Engineering and Computer Science,Effort estimation in traditional and agile mobile application development & testing,EC3 - Is a literature review study,
230,"Arora M., Verma S., Kavita",International Journal of Engineering and Technology(UAE),An efficient effort and cost estimation framework for Scrum Based Projects,EC3 - Is a literature review study,
231,"Kaur A., Kaur K.",Information and Software Technology,Investigation on test effort estimation of mobile applications: Systematic literature review and survey,EC3 - Is a literature review study,
232,"Arora M,Verma S,Kavita,Chopra S",,A Systematic Literature Review of Machine Learning Estimation Approaches in Scrum Projects,EC3 - Is a literature review study,
233,M. Fern√°ndez-Diego; E. R. M√©ndez; F. Gonz√°lez-Ladr√≥n-De-Guevara; S. Abrah√£o; E. Insfran,IEEE Access,An Update on Effort Estimation in Agile Software Development: A Systematic Literature Review,EC3 - Is a literature review study,
234,M. M. Hohman,Agile Development Conference (ADC'05),Estimating in actual time [extreme programming],EC4 - Is an experience report or replication study,
235,"Gary K., Koehnemann H.","ASEE Annual Conference and Exposition, Conference Proceedings",The benefits of transparency in managing software engineering capstone projects,EC4 - Is an experience report or replication study,
236,M. Ochodek,2016 Joint Conference of the International Workshop on Software Measurement and the International Conference on Software Process and Product Measurement (IWSM-MENSURA),Approximation of COSMIC Functional Size of Scenario-Based Requirements in Agile Based on Syntactic Linguistic Features‚ A Replication Study,EC4 - Is an experience report or replication study,
237,Ochodek M.,"Proceedings - 26th International Workshop on Software Measurement, IWSM 2016 and the 11th International Conference on Software Process and Product Measurement, Mensura 2016",Approximation of COSMIC functional size of scenario-based requirements in agile based on syntactic linguistic features - A replication study,EC4 - Is an experience report or replication study,
238,"Dantas E., Perkusich M., Dilorenzo E., Santos D.F.S., Almeida H., Perkusich A.","Proceedings of the International Conference on Software Engineering and Knowledge Engineering, SEKE",Effort estimation in agile software development: An updated review,EC4 - Is an experience report or replication study,
239,"Hacaloglu T., Demirors O.",CEUR Workshop Proceedings,Challenges of using software size in agile software development: A systematic literature review,EC4 - Is an experience report or replication study,
240,M. Abadeer; M. Sabetzadeh,2021 IEEE 29th International Requirements Engineering Conference Workshops (REW),Machine Learning-based Estimation of Story Points in Agile Development: Industrial Experience and Lessons Learned,EC4 - Is an experience report or replication study,
241,R. Litoriya; N. Sharma; A. Kothari,2012 CSI Sixth International Conference on Software Engineering (CONSEG),Incorporating Cost driver substitution to improve the effort using Agile COCOMO II,EC5 - Is an evaluation of the existing effort estimation technique,
242,M. Alshayeb; Wei Li,IEEE Transactions on Software Engineering,An empirical validation of object-oriented metrics in two different iterative software processes,EC5 - Is an evaluation of the existing effort estimation technique,
243,"Kuppuswami S,Vivekanandan K,Ramaswamy P,Rodrigues P",SIGSOFT Softw. Eng. Notes,The Effects of Individual XP Practices on Software Development Effort,EC5 - Is an evaluation of the existing effort estimation technique,
244,Cao L.,"14th Americas Conference on Information Systems, AMCIS 2008",Estimating agile software project effort: An empirical study,EC5 - Is an evaluation of the existing effort estimation technique,
245,"Alves N., Carvalho W., Lamounier E.",SEKE 2010 - Proceedings of the 22nd International Conference on Software Engineering and Knowledge Engineering,Scrum and plan-driven process integration and its impact on effort estimation,EC5 - Is an evaluation of the existing effort estimation technique,
246,Mahnic V,,A Case Study on Agile Estimating and Planning using Scrum,EC5 - Is an evaluation of the existing effort estimation technique,
247,"Mahniƒç V., Hovelja T.",Journal of Systems and Software,On using planning poker for estimating user stories,EC5 - Is an evaluation of the existing effort estimation technique,
248,S. Downey; J. Sutherland,2013 46th Hawaii International Conference on System Sciences,Scrum Metrics for Hyperproductive Teams: How They Fly like Fighter Aircraft,EC5 - Is an evaluation of the existing effort estimation technique,
249,E. Ungan; N. √áizmeli; O. Demir√∂rs,2014 40th EUROMICRO Conference on Software Engineering and Advanced Applications,"Comparison of Functional Size Based Estimation and Story Points, Based on Effort Estimation Effectiveness in SCRUM Projects",EC5 - Is an evaluation of the existing effort estimation technique,
250,R. Goswami; M. Jasuja; S. Dhir,2016 Second International Conference on Computational Intelligence & Communication Technology (CICT),Impact of Different Estimation Approaches in Traditional and Agile Development,EC5 - Is an evaluation of the existing effort estimation technique,
251,"Huijgens H,Bruntink M,van Deursen A,van der Storm T,Vogelezang F",Proceedings of the International Conference on Software and Systems Process,An Exploratory Study on Functional Size Measurement Based on Code,EC5 - Is an evaluation of the existing effort estimation technique,
252,"Satapathy S.M., Rath S.K.",Innovations in Systems and Software Engineering,Empirical assessment of machine learning models for agile software development effort estimation using story points,EC5 - Is an evaluation of the existing effort estimation technique,
253,J. Lopez-Martinez; A. Ramirez-Noriega; R. Juarez-Ramirez; G. Licea; Y. Martinez-Ramirez,2017 5th International Conference in Software Engineering Research and Innovation (CONISOFT),Analysis of Planning Poker Factors between University and Enterprise,EC5 - Is an evaluation of the existing effort estimation technique,
254,H. H. Arifin; J. Daengdej; N. T. Khanh,2017 8th International Workshop on Empirical Software Engineering in Practice (IWESEP),An Empirical Study of Effort-Size and Effort-Time in Expert-Based Estimations,EC5 - Is an evaluation of the existing effort estimation technique,
255,"Tanveer B,Vollmer AM,Braun S",Proceedings of the 2018 International Conference on Software and System Process,A Hybrid Methodology for Effort Estimation in Agile Development: An Industrial Evaluation,EC5 - Is an evaluation of the existing effort estimation technique,
256,"Angara J., Prasad S., Sridevi G.",International Journal of Electrical and Computer Engineering,Towards benchmarking user stories estimation with cosmic function points-a case example of participant observation,EC5 - Is an evaluation of the existing effort estimation technique,
257,T. Hacaloglu; O. Demirors,2019 45th Euromicro Conference on Software Engineering and Advanced Applications (SEAA),Measureability of Functional Size in Agile Software Projects: Multiple Case Studies with COSMIC FSM,EC5 - Is an evaluation of the existing effort estimation technique,
258,T. J. Gandomani; H. Faraji; M. Radnejad,2019 5th Conference on Knowledge Based Engineering and Innovation (KBEI),Planning Poker in cost estimation in Agile methods: Averaging Vs. Consensus,EC5 - Is an evaluation of the existing effort estimation technique,
259,"Ugalde F., Quesada-L√≥pez C., Mart√≠nez A., Jenkins M.","23rd Iberoamerican Conference on Software Engineering, CIbSE 2020",A comparative study on measuring software functional size to support effort estimation in agile,EC5 - Is an evaluation of the existing effort estimation technique,
260,"Kaushik A., Tayal D.K., Yadav K.",Arabian Journal for Science and Engineering,A Comparative Analysis on Effort Estimation for Agile and Non-agile Software Projects Using DBN-ALO,EC5 - Is an evaluation of the existing effort estimation technique,
261,H. √únl√º; T. Hacaloƒülu; O. Leblebici; O. Demir√∂rs,2021 15th Turkish National Software Engineering Symposium (UYMS),Effort Prediction for Microservices: A Case Study,EC5 - Is an evaluation of the existing effort estimation technique,
262,"J√∏rgensen M., Escott E.",Information and Software Technology,"Relative estimates of software development effort: Are they more accurate or less time-consuming to produce than absolute estimates, and to what extent are they person-independent?",EC5 - Is an evaluation of the existing effort estimation technique,
263,"Po≈æenel M., Hovelja T.",International Journal of Engineering Education,A comparison of the planning poker and team estimation game: A case study in software development capstone project course,EC5 - Is an evaluation of the existing effort estimation technique,
264,J. -M. Desharnais; B. Kocaturk; A. Abran,2011 Joint Conference of the 21st International Workshop on Software Measurement and the 6th International Conference on Software Process and Product Measurement,Using the COSMIC Method to Evaluate the Quality of the Documentation of Agile User Stories,QC2 - The techniques or methodologies are not described,
265,"Dhas J.T.M., Bharathi C.R.",Indian Journal of Science and Technology,Risks associated to size estimation of e-commerce system using function point based estimation techniques,QC2 - The techniques or methodologies are not described,
266,"Bhaskaran N.A., Jayaraj V.",International Journal of Engineering and Advanced Technology,A hybrid effort estimation technique for agile software development (HEETAD),"QC3 - The dataset, participants, or case studies of the study are not described",
267,H. K. Sharma; R. Tomar; A. Dumka; M. S. Aswal,2015 1st International Conference on Next Generation Computing Technologies (NGCT),OpenECOCOMO: The algorithms and implementation of Extended Cost Constructive Model (E-COCOMO),"QC3 - The dataset, participants, or case studies of the study are not described",
268,S. K. Khatri; S. Malhotra; P. Johri,"2016 5th International Conference on Reliability, Infocom Technologies and Optimization (Trends and Future Directions) (ICRITO)",Use case point estimation technique in software development,"QC3 - The dataset, participants, or case studies of the study are not described",
269,L. Santillo,2012 Joint Conference of the 22nd International Workshop on Software Measurement and the 2012 Seventh International Conference on Software Process and Product Measurement,Easy Function Points -- 'Smart' Approximation Technique for the IFPUG and COSMIC Methods,"QC3 - The dataset, participants, or case studies of the study are not described",
270,H. Zahraoui; M. A. Janati Idrissi,2015 10th International Conference on Intelligent Systems: Theories and Applications (SITA),Adjusting story points calculation in scrum effort & time estimation,"QC3 - The dataset, participants, or case studies of the study are not described",
271,Tanveer B,Proceedings of the 21st International Conference on Evaluation and Assessment in Software Engineering,Guidelines for Utilizing Change Impact Analysis When Estimating Effort in Agile Software Development,"QC3 - The dataset, participants, or case studies of the study are not described",
272,Radu L.-D.,ICSOFT 2019 - Proceedings of the 14th International Conference on Software Technologies,Effort prediction in agile software development with Bayesian networks,"QC3 - The dataset, participants, or case studies of the study are not described",
273,"Manjula R., Thirumalai Selvi R.",International Journal of Civil Engineering and Technology,Estimating preliminary cost of project with historical usecases in agile to improve productivity,"QC3 - The dataset, participants, or case studies of the study are not described",
274,C. Ratke; H. H. Hoffmann; T. Gaspar; P. E. Floriani,2019 2nd International Conference on Computer Applications & Information Security (ICCAIS),Effort Estimation using Bayesian Networks for Agile Development,"QC3 - The dataset, participants, or case studies of the study are not described",
275,P. Sudarmaningtyas; R. B. Mohamed,"2020 7th International Conference on Information Technology, Computer, and Electrical Engineering (ICITACEE)",Extended Planning Poker: A Proposed Model,"QC3 - The dataset, participants, or case studies of the study are not described",
276,"Butt SA,Misra S,Pineres-Espitia G,Ariza-Colpas P,Sharma MM",Computational Science and Its Applications,A Cost Estimating Method for Agile Software Development,"QC3 - The dataset, participants, or case studies of the study are not described",
277,R. Popli; N. Chauhan,2013 International Conference on Information Systems and Computer Networks,A sprint-point based estimation technique in Scrum,QC4 - The evaluation or validation methods are not described,
278,"Desharnais J.-M., Buglione L., Kocat√ºrk B.",International Conference on Product Focused Software Development and Process Improvement,Using the COSMIC method to estimate Agile User Stories,QC4 - The evaluation or validation methods are not described,
279,M. Owais; R. Ramakishore,2016 Ninth International Conference on Contemporary Computing (IC3),"Effort, duration and cost estimation in agile software development",QC4 - The evaluation or validation methods are not described,
280,R. Popli; N. Chauhan,2014 International Conference on Reliability Optimization and Information Technology (ICROIT),Cost and effort estimation in agile software development,QC4 - The evaluation or validation methods are not described,
281,R. Popli; N. Chauhan,2014 International Conference on Information Systems and Computer Networks (ISCON),Estimation in agile environment using resistance factors,QC4 - The evaluation or validation methods are not described,
282,"Bhalerao S., Ingle M.",International Journal of Computer Science and Applications,Incorporating vital factors in agile estimation through algorithmic method,QC4 - The evaluation or validation methods are not described,
283,M. Hamid; F. Zeshan; A. Ahmad,2021 International Conference on Decision Aid Sciences and Application (DASA),Fuzzy Logic-based Expert System for Effort Estimation in Scrum Projects,QC4 - The evaluation or validation methods are not described,
284,A. Magazinius; R. Feldt,2011 37th EUROMICRO Conference on Software Engineering and Advanced Applications,Confirming Distortional Behaviors in Software Cost Estimation Practice,QC4 - The evaluation or validation methods are not described,
285,R. Popli; N. Chauhan,2014 International Conference on Computing for Sustainable Global Development (INDIACom),Agile estimation using people and project related factors,QC4 - The evaluation or validation methods are not described,
286,A. Saini; L. Ahuja; S. K. Khatri,"2018 7th International Conference on Reliability, Infocom Technologies and Optimization (Trends and Future Directions) (ICRITO)",Effort Estimation of Agile Development using Fuzzy Logic,QC4 - The evaluation or validation methods are not described,
287,F. Raith; I. Richter; R. Lindermeier; G. Klinker,2013 20th Asia-Pacific Software Engineering Conference (APSEC),Identification of Inaccurate Effort Estimates in Agile Software Development,QC5 - The results of the study are described,
288,R. Popli; N. Chauahn,2015 2nd International Conference on Computing for Sustainable Global Development (INDIACom),Managing uncertainty of story-points in Agile software,QC5 - The results of the study are described,
